Node root,Node ID,Part 1,Part 2,Node Path,Translate,Node Id in UK,Node Id in DE,Node Id in FR,Node Id in IT
es-apparel,1909320031,Done,Done,/Categorías/Bebé/Niños de hasta 24 meses/Accesorios/Guantes y manoplas,/Categories/Baby/Children up to 24 months/Accessories/Gloves and mittens,1730635031,1981004031,514769031,1806420031
es-apparel,1909321031,,,/Categorías/Bebé/Niños de hasta 24 meses/Accesorios/Sombreros y gorras,/Categories/Baby/Children up to 24 months/Accessories/Hats and caps,1730636031,1981005031,514768031,1806421031
es-apparel,1909322031,,,/Categorías/Bebé/Niños de hasta 24 meses/Accesorios/Pañuelos para el cuello,/Categories/Baby/Children up to 24 months/Accessories/Neck scarves,1730637031,1981006031,2308672031,1806422031
es-apparel,1909323031,,,/Categorías/Bebé/Niños de hasta 24 meses/Accesorios/Bufandas,/Categories/Baby/Children up to 24 months/Accessories/Scarves,1730638031,1981007031,2308673031,1806423031
es-apparel,1909324031,,,/Categorías/Bebé/Niños de hasta 24 meses/Accesorios/Gafas de sol,/Categories/Baby/Children up to 24 months/Accessories/Sunglasses,1730639031,1981008031,514770031,1806424031
es-apparel,1909326031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de una pieza/Bodies,/Categories/Baby/Children up to 24 months/One-piece clothing/Bodysuits,1730641031,1981010031,465087031,1806426031
es-apparel,1909327031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de una pieza/Peleles,/Categories/Baby/Children up to 24 months/One-piece clothing/Rompers,1730642031,1981011031,465088031,1806427031
es-apparel,1909328031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de una pieza/Monos,/Categories/Baby/Children up to 24 months/One-piece clothing/Onesies,1730643031,1981012031,465089031,1806428031
es-apparel,1909329031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de bautizo,/Categories/Baby/Children up to 24 months/Christening clothes,1730644031,1981013031,2308679031,1806429031
es-apparel,1909336031,,,/Categorías/Bebé/Niños de hasta 24 meses/Vaqueros,/Categories/Baby/Children up to 24 months/Jennifers,1730651031,1981020031,465059031,1806436031
es-apparel,1909337031,,,/Categorías/Bebé/Niños de hasta 24 meses/Punto,/Categories/Baby/Children up to 24 months/Point,1730652031,1981021031,465052031,1806437031
es-apparel,1909338031,,,/Categorías/Bebé/Niños de hasta 24 meses/Leggings,/Categories/Baby/Children up to 24 months/Leggings,1730676031,1981045031,2308677031,1806438031
es-apparel,1909340031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de abrigo/Chaquetas y abrigos,/Categories/Baby/Children up to 24 months/Outerwear/Jackets and coats,1730654031,1981023031,465067031,1806440031
es-apparel,1909341031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de abrigo/Chalecos,/Categories/Baby/Children up to 24 months/Outerwear/Vests,1730655031,1981024031,523906031,1806441031
es-apparel,1909343031,,,/Categorías/Bebé/Niños de hasta 24 meses/Pantalones de peto,/Categories/Baby/Children up to 24 months/Overalls,1730657031,1981026031,465060031,1806443031
es-apparel,1909344031,,,/Categorías/Bebé/Niños de hasta 24 meses/Camisas,/Categories/Baby/Children up to 24 months/Shirts,1730658031,1981027031,465051031,1806444031
es-apparel,1909345031,,,/Categorías/Bebé/Niños de hasta 24 meses/Bermudas,/Categories/Baby/Children up to 24 months/Bermuda Shorts,1730659031,1981028031,465062031,1806445031
es-apparel,1909347031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa para dormir y batas/Pantalones de pijama,/Categories/Baby/Children up to 24 months/Sleepwear and robes/Pajama pants,1730661031,1981030031,465071031,1806447031
es-apparel,1909348031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa para dormir y batas/Pijamas enteros,/Categories/Baby/Children up to 24 months/Sleepwear and robes/One-piece pajamas,1730662031,1981031031,465072031,1806448031
es-apparel,1909349031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa para dormir y batas/Camisas de pijama,/Categories/Baby/Children up to 24 months/Sleepwear and robes/Pajama shirts,1730663031,1981032031,465070031,1806449031
es-apparel,1909350031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa para dormir y batas/Batas y albornoces,/Categories/Baby/Children up to 24 months/Sleepwear and robes/Robes and bathrobes,1730664031,1981033031,465074031,1806450031
es-apparel,1909351031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa para dormir y batas/Sacos de dormir,/Categories/Baby/Children up to 24 months/Sleepwear and robes/Sleeping bags,1730665031,1981034031,465075031,1806451031
es-apparel,1909352031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa para dormir y batas/Peleles para dormir,/Categories/Baby/Children up to 24 months/Sleepwear and robes/Sleepsuits,1730666031,1981035031,2308680031,1806452031
es-apparel,1909354031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de nieve y lluvia/Pantalones impermeables,/Categories/Baby/Children up to 24 months/Snow and rain clothing/Waterproof trousers,1730668031,1981037031,465068031,1806454031
es-apparel,1909355031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de nieve y lluvia/Chaquetas impermeables,/Categories/Baby/Children up to 24 months/Snow and rain gear/Waterproof jackets,1730669031,1981038031,495173031,1806455031
es-apparel,1909356031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de nieve y lluvia/Pantalones y monos para la nieve,/Categories/Baby/Children up to 24 months/Snow and rain clothing/Snow pants and overalls,1730670031,1981039031,495172031,1806456031
es-apparel,1909357031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa de nieve y lluvia/Trajes de nieve,/Categories/Baby/Children up to 24 months/Snow and rain clothing/Snow suits,1730671031,1981040031,495171031,1806457031
es-apparel,1909359031,,,/Categorías/Bebé/Niños de hasta 24 meses/Calcetines y medias/Calentadores,/Categories/Baby/Children up to 24 months/Socks and tights/Leg warmers,1730673031,1981042031,465077031,1806459031
es-apparel,1909360031,,,/Categorías/Bebé/Niños de hasta 24 meses/Calcetines y medias/Calcetines,/Categories/Baby/Children up to 24 months/Socks and tights/Socks,1730674031,1981043031,2308674031,1806460031
es-apparel,1909361031,,,/Categorías/Bebé/Niños de hasta 24 meses/Calcetines y medias/Medias,/Categories/Baby/Children up to 24 months/Socks and tights/Tights,1730675031,1981044031,2308675031,1806461031
es-apparel,1909363031,,,/Categorías/Bebé/Niños de hasta 24 meses/Trajes y americanas/Americanas,/Categories/Baby/Children up to 24 months/Suits and blazers/Blankets,1730678031,1981047031,465044031,1806463031
es-apparel,1909364031,,,/Categorías/Bebé/Niños de hasta 24 meses/Trajes y americanas/Trajes,/Categories/Baby/Children up to 24 months/Suits and blazers/Suits,1730679031,1981048031,465043031,1806464031
es-apparel,1909365031,,,/Categorías/Bebé/Niños de hasta 24 meses/Trajes y americanas/Esmóquines,/Categories/Baby/Children up to 24 months/Suits and blazers/Tuxedos,1730680031,1981049031,465045031,1806465031
es-apparel,1909367031,,,/Categorías/Bebé/Niños de hasta 24 meses/Trajes de baño/Bermudas y bañadores,/Categories/Baby/Children up to 24 months/Swimwear/Swimsuits and swim trunks,1730682031,1981051031,465083031,1806467031
es-apparel,1909368031,,,/Categorías/Bebé/Niños de hasta 24 meses/Trajes de baño/Pañales para nadar,/Categories/Baby/Children up to 24 months/Swimsuits/Swim diapers,1730683031,1981052031,465085031,1806468031
es-apparel,1909370031,,,/Categorías/Bebé/Niños de hasta 24 meses/Partes de arriba/Polos,/Categories/Baby/Children up to 24 months/Tops/Polo shirts,1730685031,1981054031,465050031,1806470031
es-apparel,1909371031,,,/Categorías/Bebé/Niños de hasta 24 meses/Partes de arriba/Camisetas sin mangas,/Categories/Baby/Children up to 24 months/Tops/Tank tops,1730686031,1981055031,465049031,1806471031
es-apparel,1909372031,,,/Categorías/Bebé/Niños de hasta 24 meses/Partes de arriba/Camisetas,/Categories/Baby/Children up to 24 months/Tops/T-shirts,1730687031,1981056031,465048031,1806472031
es-apparel,1909373031,,,/Categorías/Bebé/Niños de hasta 24 meses/Pantalones,/Categories/Baby/Children up to 24 months/Pants,1730688031,1981057031,465061031,1806473031
es-apparel,1909375031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa interior/Pantis,/Categories/Baby/Children up to 24 months/Underwear/Pantyhose,1730693031,1981062031,2308678031,1806475031
es-apparel,1909376031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa interior/Conjuntos,/Categories/Baby/Children up to 24 months/Underwear/Sets,1730690031,1981059031,465081031,1806476031
es-apparel,1909377031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa interior/Calzones de entrenamiento,/Categories/Baby/Children up to 24 months/Underwear/Training briefs,1730691031,1981060031,465080031,1806477031
es-apparel,1909378031,,,/Categorías/Bebé/Niños de hasta 24 meses/Ropa interior/Camisillas,/Categories/Baby/Children up to 24 months/Underwear/Undershirts,1730692031,1981061031,465079031,1806478031
es-apparel,1909381031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Accesorios/Guantes y manoplas,/Categories/Baby/Girls up to 24 months/Accessories/Gloves and mittens,1730696031,1981065031,514765031,1806481031
es-apparel,1909382031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Accesorios/Sombreros y gorras,/Categories/Baby/Girls up to 24 months/Accessories/Hats and caps,1730697031,1981066031,514764031,1806482031
es-apparel,1909383031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Accesorios/Pañuelos para el cuello,/Categories/Baby/Girls up to 24 months/Accessories/Neck scarves,1730698031,1981067031,2308666031,1806483031
es-apparel,1909384031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Accesorios/Bufandas,/Categories/Baby/Girls up to 24 months/Accessories/Scarves,1730699031,1981068031,2308667031,1806484031
es-apparel,1909385031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Accesorios/Gafas de sol,/Categories/Baby/Girls up to 24 months/Accessories/Sunglasses,1730700031,1981069031,514766031,1806485031
es-apparel,1909387031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Ropa de una pieza/Bodies,/Categories/Baby/Girls up to 24 months/One-piece clothing/Bodysuits,1730702031,1981071031,465038031,1806487031
es-apparel,1909388031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Ropa de una pieza/Peleles,/Categories/Baby/Girls up to 24 months/One-piece clothing/Rompers,1730703031,1981072031,465039031,1806488031
es-apparel,1909389031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Ropa de una pieza/Monos,/Categories/Baby/Girls up to 24 months/One-piece clothing/Rompers,1730704031,1981073031,465040031,1806489031
es-apparel,1909390031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Ropa de bautizo,/Categories/Baby/Girls up to 24 months/Christening clothes,1730705031,1981074031,2308670031,1806490031
es-apparel,1909391031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Vestidos,/Categories/Baby/Girls up to 24 months/Dresses,1730706031,1981075031,464990031,1806491031
es-apparel,1909398031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Vaqueros,/Categories/Baby/Girls up to 24 months/Jennifers,1730713031,1981082031,465003031,1806498031
es-apparel,1909399031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Ropa de punto,/Categories/Baby/Girls up to 24 months/Knitwear,1730714031,1981083031,464996031,1806499031
es-apparel,1909400031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Leggings,/Categories/Baby/Girls up to 24 months/Leggings,1730739031,1981108031,2308668031,1806500031
es-apparel,1909402031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Ropa de abrigo/Chaquetas y abrigos,/Categories/Baby/Girls up to 24 months/Outerwear/Jackets and coats,1730716031,1981085031,465012031,1806502031
es-apparel,1909403031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Ropa de abrigo/Chalecos,/Categories/Baby/Girls up to 24 months/Outerwear/Vests,1730717031,1981086031,523904031,1806503031
es-apparel,1909405031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Pantalones de peto,/Categories/Baby/Girls up to 24 months/Overalls,1730719031,1981088031,465004031,1806505031
es-apparel,1909406031,,,/Categorías/Bebé/Niñas de hasta 24 meses/Bermudas,/Categories/Baby/Girls up to 24 months/Bermuda Shorts,1730720031,1981089031,465006031,1806506031
